# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3813
#@/user_id	3b9f0210-6f77-41af-a981-a384e697813f
a 	啊	c=14 d=1.85157 t=3813
a 	阿	c=2 d=0.425283 t=3813
a gan 	阿甘	c=1 d=0.0248475 t=3813
ai 	愛	c=2 d=0.0902807 t=3813
an 	按	c=1 d=0.241714 t=3813
an han 	暗含	c=1 d=1 t=2503
an jin 	暗勁	c=2 d=1.79453 t=2554
an yu 	暗喻	c=1 d=0.0116786 t=3813
an zhuang 	安裝	c=1 d=0.158817 t=3813
an zhuo 	安卓	c=1 d=0.159614 t=3813
ao li gei 	奧利給	c=1 d=0.0208584 t=3813
ba 	八	c=3 d=0.22091 t=3813
ba 	吧	c=10 d=1.22221 t=3813
ba 	巴	c=1 d=1 t=2287
ba 	把	c=1 d=0.285076 t=3813
ba ba 	爸爸	c=1 d=1 t=2371
ba dao 	霸道	c=1 d=1 t=3027
ba shen 	八神	c=1 d=0.214381 t=3813
bai ding 	白丁	c=1 d=0.0380064 t=3813
bai du 	百度	c=3 d=0.420277 t=3813
bai gei 	白給	c=1 d=0.0397558 t=3813
bai se 	白色	c=12 d=4.30044 t=3780
bai wan 	百萬	c=1 d=0.0246002 t=3813
ban 	扮	c=1 d=1 t=2223
ban 	版	c=1 d=1 t=2984
ban 	般	c=2 d=1.77492 t=2784
ban ben 	版本	c=1 d=1 t=2240
ban fa 	辦法	c=1 d=0.100259 t=3813
ban yun 	搬運	c=1 d=0.224249 t=3813
bang mang 	幫忙	c=1 d=0.0710054 t=3813
bang zhu 	幫助	c=1 d=1 t=2865
bao 	爆	c=1 d=0.0547488 t=3813
bao chi 	保持	c=1 d=1 t=3671
bao fa 	爆發	c=2 d=1.90032 t=2780
bao kuang li 	寶礦力	c=1 d=0.00918669 t=3813
bao lai wu 	寶萊塢	c=3 d=1.26534 t=2414
bao lan 	飽藍	c=2 d=0.0145893 t=3813
bao li 	暴力	c=2 d=1.98511 t=3587
bao li 	暴戾	c=1 d=1 t=3568
bao ren 	保人	c=1 d=1 t=2506
bao song 	報送	c=2 d=1.99005 t=2929
bao yu 	暴雨	c=2 d=1.77492 t=2783
bao zha 	爆炸	c=0 d=0.1 t=3046
bao zhe 	抱着	c=1 d=0.20089 t=3813
bao zheng 	保證	c=1 d=0.384812 t=3813
bei 	倍	c=1 d=1 t=2602
bei 	被	c=10 d=1.73972 t=3813
bei ban 	背板	c=1 d=0.955997 t=3813
bei dong 	被動	c=1 d=1 t=2614
bei kai 	被開	c=1 d=0.187308 t=3813
ben 	本	c=1 d=1 t=3166
ben e 	本惡	c=2 d=1.27943 t=3661
ben lai 	本來	c=1 d=1 t=3499
ben ni 	本尼	c=1 d=1 t=3013
ben se 	本色	c=1 d=1 t=3156
ben shan 	本善	c=2 d=1.08416 t=3664
bi 	幣	c=1 d=0.0102549 t=3813
bi 	必	c=1 d=1 t=3335
bi 	比	c=5 d=0.683861 t=3813
bi 	筆	c=1 d=0.153355 t=3813
bi 	避	c=0 d=0.1 t=2865
bi ji 	筆記	c=1 d=1 t=3810
bi ji ben 	筆記本	c=1 d=0.126186 t=3813
bi jiao 	比較	c=2 d=1.51944 t=2131
bi jing 	畢竟	c=1 d=0.120032 t=3813
bi li bi li 	嗶哩嗶哩	c=1 d=1 t=2495
bi sai 	比賽	c=3 d=0.324652 t=3813
bi wo 	比我	c=1 d=0.396531 t=3813
bi xu 	必須	c=0 d=0.1 t=2877
bi xu yao 	必須要	c=1 d=1 t=2878
bi yao 	必要	c=1 d=0.12938 t=3813
bian 	變	c=1 d=1 t=2479
bian cheng 	編程	c=1 d=0.543351 t=3813
bian cheng 	變成	c=2 d=0.768258 t=3813
bian da 	變大	c=1 d=0.235746 t=3813
bian de 	變得	c=1 d=1 t=3189
bian yuan 	邊緣	c=1 d=0.0982736 t=3813
biao ti 	標題	c=1 d=0.00400585 t=3813
biao xian 	表現	c=7 d=3.11499 t=2324
bie ju 	別具	c=1 d=1 t=2023
bie ren 	別人	c=1 d=0.802519 t=3813
bie shu 	別墅	c=1 d=0.0154523 t=3813
bing 	並	c=5 d=0.937067 t=3813
bing fei 	並非	c=1 d=1 t=3425
bing qie 	並且	c=2 d=1.99501 t=2379
bing xiang 	冰箱	c=1 d=0.895834 t=3813
bo cai 	菠菜	c=1 d=0.102797 t=3813
bo dong 	撥動	c=1 d=1 t=2513
bo ruo 	薄弱	c=0 d=0.1 t=2882
bo ruo dian 	薄弱點	c=1 d=1 t=2883
bu 	不	c=22 d=1.41257 t=3813
bu bu 	補補	c=1 d=0.103312 t=3813
bu bu gao 	步步高	c=1 d=0.107528 t=3813
bu chi 	不吃	c=2 d=0.0422141 t=3813
bu chu 	不出	c=0 d=0.00387742 t=3813
bu cuo 	不錯	c=4 d=0.526044 t=3813
bu dao 	不到	c=2 d=0.499074 t=3813
bu dao 	補刀	c=1 d=0.0898153 t=3813
bu dong 	不動	c=0 d=0.00466538 t=3813
bu dong 	不懂	c=2 d=0.6792 t=3813
bu duan 	不斷	c=1 d=0.377192 t=3813
bu duo 	不多	c=1 d=0.597501 t=3813
bu fa 	步法	c=1 d=1 t=2848
bu fen 	部分	c=1 d=1 t=3464
bu guan 	不管	c=3 d=1.83147 t=3694
bu guo 	不過	c=6 d=1.20303 t=3813
bu guo qu 	不過去	c=0 d=0.0438235 t=3813
bu hao 	不好	c=4 d=0.0861096 t=3813
bu hui 	不會	c=2 d=0.729789 t=3813
bu jin 	不禁	c=1 d=1 t=2557
bu kan 	不看	c=1 d=0.00577048 t=3813
bu liang 	不良	c=1 d=0.0160027 t=3813
bu liao 	不了	c=1 d=0.0284388 t=3813
bu liu 	不溜	c=1 d=0.298197 t=3813
bu lun 	不論	c=2 d=1.97531 t=3133
bu qi 	不起	c=0 d=0.0856415 t=3813
bu qing chu 	不清楚	c=2 d=0.491181 t=3813
bu qu zuo 	不去做	c=1 d=0.70822 t=3813
bu ran 	不然	c=2 d=0.325697 t=3813
bu rong yi 	不容易	c=1 d=1 t=3804
bu shang 	補上	c=1 d=0.136695 t=3813
bu shi 	不是	c=9 d=0.831104 t=3813
bu tai 	不太	c=1 d=0.163654 t=3813
bu tong 	不同	c=13 d=0.77679 t=3813
bu xi guan 	不習慣	c=1 d=0.00960953 t=3813
bu xi huan 	不喜歡	c=1 d=0.995012 t=3813
bu xi wang 	不希望	c=1 d=0.203926 t=3813
bu xiang 	不想	c=2 d=0.271173 t=3813
bu xing 	不行	c=1 d=0.546074 t=3813
bu xu 	不虛	c=1 d=0.00514361 t=3813
bu yong 	不用	c=1 d=0.115325 t=3813
bu zhi 	不知	c=1 d=0.187308 t=3813
bu zhi dao 	不知道	c=1 d=0.657047 t=3813
bu zhu 	不住	c=2 d=0.531599 t=3813
bu zu 	不足	c=2 d=0.97531 t=3813
cai 	才	c=6 d=0.57695 t=3813
cai hui 	纔會	c=3 d=0.526715 t=3813
cai neng 	才能	c=1 d=1 t=3412
cai shi 	纔是	c=1 d=1 t=3218
can jia 	參加	c=2 d=0.0992613 t=3813
can xue 	殘血	c=1 d=1 t=2652
cao 	草	c=2 d=0.114178 t=3813
cao cao 	曹操	c=1 d=1 t=2251
cao cao 	草草	c=1 d=1 t=2447
cao zong 	操縱	c=1 d=1 t=3449
cao zuo 	操作	c=2 d=1.21625 t=3813
ce mian 	側面	c=1 d=1 t=2906
ce shi 	測試	c=1 d=0.0051953 t=3813
ceng 	層	c=1 d=0.0049667 t=3813
