# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4512
#@/user_id	ec049296-9860-451a-a316-42353bde6e0e
a 	啊	c=26 d=4.62821 t=4512
a 	阿	c=2 d=0.425283 t=4512
a a 	啊啊	c=1 d=0.0833256 t=4512
a a a 	啊啊啊	c=1 d=0.07502 t=4512
a gan 	阿甘	c=1 d=0.0248475 t=4512
ai 	愛	c=2 d=0.0902807 t=4512
ai hao 	愛好	c=1 d=0.402524 t=4512
an 	按	c=2 d=1.04662 t=4512
an han 	暗含	c=1 d=0.00143012 t=4512
an jin 	暗勁	c=2 d=0.00331182 t=4512
an yu 	暗喻	c=1 d=0.0116786 t=4512
an zhuang 	安裝	c=1 d=0.158817 t=4512
an zhuo 	安卓	c=1 d=0.159614 t=4512
ao li gei 	奧利給	c=1 d=0.0208584 t=4512
ba 	八	c=3 d=0.22091 t=4512
ba 	吧	c=15 d=1.22221 t=4512
ba 	巴	c=1 d=0.000485661 t=4512
ba 	把	c=1 d=0.285076 t=4512
ba ba 	爸爸	c=1 d=0.000739157 t=4512
ba dao 	霸道	c=1 d=0.0196437 t=4512
ba ma 	爸媽	c=1 d=0.0478349 t=4512
ba shen 	八神	c=1 d=0.214381 t=4512
bai ding 	白丁	c=1 d=0.0380064 t=4512
bai du 	百度	c=3 d=0.420277 t=4512
bai gei 	白給	c=1 d=0.0397558 t=4512
bai se 	白色	c=12 d=3.64632 t=4512
bai wan 	百萬	c=1 d=0.0246002 t=4512
ban 	扮	c=1 d=0.000352662 t=4512
ban 	版	c=1 d=0.0158434 t=4512
ban 	般	c=2 d=0.0103451 t=4512
ban 	辦	c=1 d=0.0555762 t=4512
ban ben 	版本	c=1 d=0.000383949 t=4512
ban fa 	辦法	c=1 d=0.100259 t=4512
ban yun 	搬運	c=1 d=0.224249 t=4512
bang mang 	幫忙	c=1 d=0.0710054 t=4512
bang zhu 	幫助	c=1 d=0.00873865 t=4512
bao 	爆	c=1 d=0.0547488 t=4512
bao chi 	保持	c=1 d=0.491644 t=4512
bao fa 	爆發	c=2 d=0.0108566 t=4512
bao kuang li 	寶礦力	c=1 d=0.00918669 t=4512
bao lai wu 	寶萊塢	c=3 d=0.00115962 t=4512
bao lan 	飽藍	c=2 d=0.0145893 t=4512
bao li 	暴力	c=2 d=0.641257 t=4512
bao li 	暴戾	c=1 d=0.293758 t=4512
bao ren 	保人	c=1 d=0.00145173 t=4512
bao song 	報送	c=2 d=0.0239487 t=4512
bao yu 	暴雨	c=2 d=0.0102935 t=4512
bao zha 	爆炸	c=0 d=0.00216013 t=4512
bao zhe 	抱着	c=1 d=0.20089 t=4512
bao zheng 	保證	c=1 d=0.384812 t=4512
bei 	倍	c=1 d=0.0023461 t=4512
bei 	被	c=14 d=3.94329 t=4512
bei ban 	背板	c=1 d=0.955997 t=4512
bei dong 	被動	c=1 d=0.00249118 t=4512
bei jing 	北京	c=1 d=0.752014 t=4512
bei kai 	被開	c=1 d=0.187308 t=4512
ben 	本	c=1 d=0.0393602 t=4512
ben e 	本惡	c=2 d=0.598346 t=4512
ben lai 	本來	c=1 d=0.208045 t=4512
ben ni 	本尼	c=1 d=0.0183156 t=4512
ben se 	本色	c=1 d=0.0374406 t=4512
ben shan 	本善	c=2 d=0.514688 t=4512
bi 	幣	c=1 d=0.0102549 t=4512
bi 	必	c=1 d=0.0916297 t=4512
bi 	比	c=6 d=0.683861 t=4512
bi 	筆	c=1 d=0.153355 t=4512
bi 	避	c=0 d=0.000873865 t=4512
bi ji 	筆記	c=1 d=0.985112 t=4512
bi ji ben 	筆記本	c=1 d=0.126186 t=4512
bi jiao 	比較	c=2 d=0.000338273 t=4512
bi jing 	畢竟	c=2 d=0.120032 t=4512
bi li bi li 	嗶哩嗶哩	c=1 d=0.00137404 t=4512
bi sai 	比賽	c=3 d=0.324652 t=4512
bi wo 	比我	c=1 d=0.396531 t=4512
bi xu 	必須	c=0 d=0.000927901 t=4512
bi xu yao 	必須要	c=1 d=0.00932553 t=4512
bi yao 	必要	c=1 d=0.12938 t=4512
bian 	變	c=1 d=0.0012684 t=4512
bian cheng 	編程	c=2 d=0.543351 t=4512
bian cheng 	變成	c=2 d=0.768258 t=4512
bian da 	變大	c=1 d=0.235746 t=4512
bian de 	變得	c=1 d=0.0441572 t=4512
bian yuan 	邊緣	c=2 d=0.133592 t=4512
biao ti 	標題	c=2 d=0.97062 t=4512
biao xian 	表現	c=7 d=0.00182026 t=4512
bie ju 	別具	c=1 d=0.000129737 t=4512
bie ren 	別人	c=1 d=0.802519 t=4512
bie shu 	別墅	c=1 d=0.0154523 t=4512
bing 	並	c=5 d=0.937067 t=4512
bing 	病	c=1 d=0.70822 t=4512
bing fei 	並非	c=1 d=0.143704 t=4512
bing qie 	並且	c=2 d=0.00153481 t=4512
bing xiang 	冰箱	c=1 d=0.895834 t=4512
bo cai 	菠菜	c=1 d=0.102797 t=4512
bo dong 	撥動	c=1 d=0.00150344 t=4512
bo li 	玻璃	c=4 d=0.633755 t=4512
bo ruo 	薄弱	c=0 d=0.000951391 t=4512
bo ruo dian 	薄弱點	c=1 d=0.0095616 t=4512
bu 	不	c=29 d=3.72279 t=4512
bu bu 	補補	c=1 d=0.103312 t=4512
bu bu gao 	步步高	c=1 d=0.107528 t=4512
bu chi 	不吃	c=2 d=0.0422141 t=4512
bu chu 	不出	c=0 d=0.00387742 t=4512
bu cuo 	不錯	c=4 d=0.526044 t=4512
bu dan xin 	不擔心	c=1 d=0.0485578 t=4512
bu dao 	不到	c=2 d=0.499074 t=4512
bu dao 	補刀	c=1 d=0.0898153 t=4512
bu dong 	不動	c=0 d=0.00466538 t=4512
bu dong 	不懂	c=2 d=0.6792 t=4512
bu duan 	不斷	c=1 d=0.377192 t=4512
bu duo 	不多	c=1 d=0.597501 t=4512
bu fa 	步法	c=1 d=0.00802655 t=4512
bu fen 	部分	c=1 d=0.174645 t=4512
bu guan 	不管	c=3 d=1.01017 t=4512
bu guang 	不光	c=1 d=0.044601 t=4512
bu guo 	不過	c=6 d=1.20303 t=4512
bu guo qu 	不過去	c=0 d=0.0438235 t=4512
bu hao 	不好	c=4 d=0.0861096 t=4512
bu hui 	不會	c=4 d=1.46059 t=4512
bu jin 	不禁	c=1 d=0.0018734 t=4512
bu kan 	不看	c=1 d=0.00577048 t=4512
bu lai 	不來	c=1 d=0.257947 t=4512
bu liang 	不良	c=1 d=0.0160027 t=4512
bu liao 	不了	c=1 d=0.0284388 t=4512
bu liu 	不溜	c=1 d=0.298197 t=4512
bu lun 	不論	c=2 d=0.0659226 t=4512
bu mo 	補魔	c=1 d=0.932394 t=4512
bu qi 	不起	c=0 d=0.0856415 t=4512
bu qing chu 	不清楚	c=3 d=0.491181 t=4512
bu qu zuo 	不去做	c=1 d=0.70822 t=4512
bu ran 	不然	c=2 d=0.325697 t=4512
bu rong yi 	不容易	c=1 d=0.955997 t=4512
bu shang 	不上	c=1 d=0.663897 t=4512
bu shang 	不傷	c=5 d=0.738029 t=4512
bu shang 	補上	c=1 d=0.136695 t=4512
bu shi 	不是	c=10 d=0.831104 t=4512
bu tai 	不太	c=1 d=0.163654 t=4512
bu tong 	不同	c=14 d=0.77679 t=4512
bu xi guan 	不習慣	c=1 d=0.00960953 t=4512
bu xi huan 	不喜歡	c=1 d=0.995012 t=4512
bu xi wang 	不希望	c=1 d=0.203926 t=4512
bu xia qu 	不下去	c=0 d=0.00620385 t=4512
bu xiang 	不想	c=2 d=0.271173 t=4512
bu xing 	不行	c=1 d=0.546074 t=4512
bu xu 	不虛	c=1 d=0.00514361 t=4512
bu yao 	不要	c=1 d=0.143704 t=4512
bu yong 	不用	c=1 d=0.115325 t=4512
bu zhi 	不知	c=1 d=0.187308 t=4512
bu zhi dao 	不知道	c=4 d=0.657047 t=4512
bu zhu 	不住	c=2 d=0.531599 t=4512
bu zu 	不足	c=2 d=0.97531 t=4512
cai 	才	c=7 d=0.640424 t=4512
cai 	猜	c=1 d=0.0675424 t=4512
cai dao 	猜到	c=0 d=0.00642483 t=4512
